licence_num,使用分區,其他基地面積,原建照,地上層數,地上避難面積,地下層數,地下避難面積,工程造價,幢數,建物高度,建築面積,建造類別,戶數,棟數,構造種類,法定空地面積,發照日期,竣工日期,簷高,開工日期,騎樓基地面積
100使字第0074號,一般住宅區,924.04,097建字第0531號,9,0,3,532.91,4336.0,1,29.6,288.4,新建,15,1,RC造,600.63,2011-03-15,2010-12-21,,2009-05-15,0
100使字第0075號,批發市場,7451.9,098建字第0110號,2,0,1,0,5235.0,1,13.1,4467.23,新建,1,1,RC造,2980.76,2011-03-17,2010-08-26,,2009-04-07,0
100使字第0076號,第三種住宅,950.74,097建字第0476號,4,0,2,0,2512.0,1,22.4,475.26,新建,18,2,RC造,475.37,2011-03-17,2011-01-11,,2009-02-16,0
100使字第0077號,第三種住宅,871,097建字第0368號,6,0,1,584.13,2012.0,1,21.9,389.36,新建,1,1,RC造,479.05,2011-03-18,2010-10-27,,2009-03-02,0
100使字第0078號,住4,3156.62,097建字第0371號,15,0,4,2764.34,37252.0,1,49.98,1576.21,新建,156,2,RC造,1578.18,2011-03-18,2010-12-20,,2008-12-03,0
100使字第0079號,高中用地,34275,097建字第0569號,5,0,1,0,382.0,0,23.04,106.14,增建,0,1,鋼骨RC造,22281.35,2011-03-21,2010-07-19,,2009-02-13,0
100使字第0080號,住3,206,097建字第0565號,7,0,2,100.85,772.0,1,26,92.69,新建,13,1,RC造,113.3,2011-03-21,2010-10-08,,2009-03-20,0
100使字第0081號,住3,100,098建字第0126號,7,0,1,81.38,481.0,1,22,44.95,新建,6,1,RC造,0,2011-03-22,2010-09-29,,2009-05-26,0
100使字第0082號,商三特(原住三),433,097建字第0390號,12,0,2,266.27,2426.0,1,45.55,187.57,新建,11,1,RC造,238.15,2011-03-22,2010-12-29,,2009-05-15,0
100使字第0083號,科技工業區(C區),3295.9,099建字第0306號,7,0,3,1960.04,21639.0,1,35.95,1645.4,新建,9,1,鋼骨造,1647.95,2011-03-23,2011-02-25,,2010-08-30,0
